Variable:,pr
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Arkhangelskaya Oblast",619.58,42.44,32.09,32.44,32.44,46.28,64.98,72.83,70.87,61.35,63.18,53.67,47.00
"Amurskaya Oblast",567.64,7.03,5.70,10.78,26.62,56.33,83.73,132.85,110.58,73.30,33.40,17.67,9.66
"Altayskiy Kray",464.97,23.22,20.81,23.91,29.23,42.80,53.96,67.52,49.04,40.28,41.94,40.08,32.21
"Kurganskaya Oblast",416.05,21.27,15.58,20.23,22.39,37.54,53.90,65.77,57.04,37.49,32.54,28.16,24.13
"Krasnoyarskiy Kray",549.43,25.76,21.29,25.19,33.46,46.27,59.97,69.49,74.73,59.02,52.61,44.18,37.44
"Ulyanovskaya Oblast",519.33,40.64,32.34,34.95,34.71,40.45,57.17,54.12,50.05,46.94,43.67,41.47,42.82
"Krasnodarskiy Kray",775.13,72.83,58.65,64.05,55.81,69.95,75.50,63.45,49.60,60.48,63.70,67.44,73.68
"Udmurtiya Rep.",593.28,41.56,30.96,35.41,33.04,47.79,67.40,66.52,69.36,51.94,57.80,48.39,43.12
"Kostromskaya Oblast",617.70,43.88,32.84,33.11,33.71,47.44,70.88,73.28,69.59,55.28,60.40,50.38,46.92
"Tyva Rep.",503.58,11.38,12.21,18.28,39.13,46.04,63.19,97.16,85.15,47.66,33.63,29.05,20.71
"Altay Rep.",475.45,13.34,13.45,17.25,36.13,55.02,66.29,75.81,65.17,40.90,36.82,33.02,22.24
"Koryakskiy Okrug",460.98,26.79,24.41,28.25,21.77,26.47,38.27,49.76,65.64,52.39,49.51,46.16,31.55
"Tyumenskaya Oblast",479.68,23.12,17.52,22.21,25.10,40.79,61.40,70.54,70.29,47.05,37.71,35.00,28.97
"Aginskiy Buryatskiy A. Okrug",349.36,1.30,1.80,4.01,10.92,29.27,60.78,96.51,82.01,42.50,10.25,5.62,4.40
"Komi-permyatskiy Okrug",679.12,46.30,34.18,39.49,39.92,54.17,78.01,72.85,78.34,63.19,66.66,57.38,48.64
"Tverskaya Oblast",724.77,51.24,41.64,41.79,38.18,59.26,79.44,85.91,78.99,62.71,74.74,56.63,54.22
"Adygeya Rep.",997.34,96.79,76.52,86.39,74.35,87.11,92.72,76.12,60.86,79.31,84.87,89.22,93.08
"Komi Rep.",595.65,37.33,28.96,31.44,35.18,46.99,65.95,67.16,72.60,61.09,59.74,48.29,40.92
"Tulskaya Oblast",630.63,42.91,38.58,37.24,39.40,55.29,69.47,78.33,57.73,55.96,57.29,45.94,52.51
"Tomskaya Oblast",545.29,26.90,20.26,23.88,29.30,46.17,68.12,69.24,74.21,54.57,48.86,46.08,37.69
"Leningradskaya Oblast",672.13,46.57,35.12,36.59,35.42,48.11,71.54,78.55,80.94,59.32,68.72,58.00,53.25
"Administrative unit not available",333.13,19.24,20.83,23.04,25.24,37.06,37.15,27.66,24.78,33.04,36.56,26.87,21.65
"Kurskaya Oblast",593.20,41.37,36.71,40.96,37.39,60.30,65.13,75.52,43.90,53.43,50.21,42.38,45.90
"Novgorodskaya Oblast",679.33,45.80,35.13,37.92,37.46,53.88,77.67,81.87,77.55,56.32,69.47,56.02,50.25
"Name Unknown",458.65,31.88,27.73,35.46,36.27,54.64,52.00,44.48,31.59,36.72,38.27,33.01,36.60
"Murmanskaya Oblast",624.37,47.04,37.42,36.98,30.70,43.66,59.29,71.94,72.18,60.40,61.18,50.15,53.42
Moskva,688.34,48.64,42.40,37.59,38.35,56.10,76.31,82.92,71.51,60.50,67.91,49.82,56.31
"Moskovskaya Oblast",669.33,46.91,40.73,37.26,37.92,54.57,74.83,80.23,69.53,58.78,65.52,49.48,53.56
"Mordoviya Rep.",567.84,42.83,35.57,34.10,33.40,46.70,62.11,61.06,56.50,51.61,51.10,45.23,47.63
"Yevreyskaya A. Oblast",639.88,7.52,6.10,15.24,34.91,65.12,94.90,141.73,133.38,77.40,34.69,16.65,12.24
"Chelyabinskaya Oblast",457.73,23.92,20.34,25.89,27.23,43.71,59.05,70.79,56.68,38.22,36.54,28.54,26.83
"Mariy-el Rep.",575.96,40.68,31.13,33.71,32.77,42.99,65.38,68.92,64.15,52.97,54.70,43.67,44.89
"Yaroslavskaya Oblast",620.14,42.65,33.78,31.15,32.86,48.19,71.20,73.54,71.92,57.16,63.14,48.95,45.60
"Chechnya Rep.",610.87,29.01,30.12,41.51,52.81,85.22,92.58,67.93,50.82,48.15,43.54,37.28,31.90
"Magadanskaya Oblast",365.62,14.28,13.54,13.96,13.11,24.09,42.82,60.52,62.74,42.87,31.54,28.42,17.73
"Yamalo-nenetskiy Okrug",453.29,25.89,22.07,24.77,27.41,34.17,47.30,50.18,62.20,46.90,47.73,34.08,30.61
"Buryatiya Rep.",439.79,7.46,5.19,9.21,20.65,39.94,68.65,99.61,90.99,50.03,19.26,16.11,12.71
"Lipetskaya Oblast",558.59,37.67,35.06,34.15,35.87,50.19,62.70,68.12,46.76,52.05,49.36,40.27,46.39
"Voronezhskaya Oblast",507.26,37.86,34.26,33.85,30.92,48.44,54.43,58.61,38.35,44.91,43.72,37.98,43.91
"Nizhegorodskaya Oblast",600.53,43.38,34.46,33.56,34.35,47.54,67.56,67.04,64.95,54.07,57.92,47.29,48.41
"Nenetskiy Okrug",407.18,25.99,21.17,20.69,21.83,28.56,38.85,45.40,52.50,48.21,45.90,30.69,27.38
